_H:	$word	$phones
_D:	"abstractive"	"aa_b.'s_t_r_aa_k.t_i_v%c"
_D:	"abstractively"	"aa_b.'s_t_r_aa_k.t_i_v.l_i%d"
_D:	"abstractiveness"	"aa_b.'s_t_r_aa_k.t_i_v.n_e_s%a"
_D:	"abstractly"	"aa_b.'s_t_r_aa_k_t.l_i%d"
_D:	"abstracto"	"aa_b.'s_t_r_aa_k.t_uh_uu%j"
_D:	"abstractor"	"aa_b.'s_t_r_aa_k.t_uh_r%a"
_D:	"abstract/v"	"aa_b.'s_t_r_aa_k_t%j"
_D:	"abstriction"	"aa_b.'s_t_r_i_k.sh_uh_n%a"
_D:	"abstruse"	"aa_b.'s_t_r_uu_s%c"
_D:	"abstrusely"	"aa_b.'s_t_r_uu_s.l_i%d"
_D:	"abstruseness"	"aa_b.'s_t_r_uu_s.n_e_s%a"
_D:	"absurd"	"aa_b.'s_er_r_d%c"
_D:	"absurdity"	"aa_b.'s_er_r.d_i.t_i%a"
_D:	"absurdly"	"aa_b.'s_er_r_d.l_i%d"
_D:	"absurdness"	"aa_b.'s_er_r_d.n_e_s%a"
_D:	"abulia"	"uh.'b_y_uu.l_ee.uh%a"
_D:	"abulic"	"aa.'b_y_u.l_i_k%c"
_D:	"abundance"	"uh.'b_a_n.d_uh_n_s%a"
_D:	"abundant"	"uh.'b_a_n.d_uh_n_t%c"
_D:	"abundantly"	"uh.'b_a_n.d_uh_n_t.l_i%d"
_D:	"abura"	"uh.'b_y_u_r.uh%a"
_D:	"abusable"	"uh.'b_y_uu.z_uh_b_u_l%c"
_D:	"abusage"	"uh.'b_y_uu.s_i_j%a"
_D:	"abuse"	"'aa.b_y_uu_s%a"
_D:	"abused"	"uh.'b_y_uu_z_d%bc"
_D:	"abuse/n"	"uh.'b_y_uu_s%j"
_D:	"abuse/v"	"uh.'b_y_uu_z%j"
_D:	"abusive"	"uh.'b_y_uu.s_i_v%c"
_D:	"abusively"	"uh.'b_y_uu.s_i_v.l_i%d"
_D:	"abusiveness"	"uh.'b_y_uu.s_i_v.n_e_s%a"
_D:	"abut"	"uh.'b_a_t%b"
_D:	"abutilon"	"uh.'b_y_uu_t.~uh_l_o_n%a"
_D:	"abutment"	"uh.'b_a_t.m_uh_n_t%a"
_D:	"abuttal"	"uh.'b_a_t.uh_l%a"
_D:	"abuttals"	"uh.'b_a_t.uh_ll_z%j"
_D:	"abutter"	"uh.'b_a_t.uh_r%a"
_D:	"abutting"	"uh.'b_a_t.i_ng%cb"
_D:	"abuzz"	"uh.'b_a_z%c"
_D:	"abvolt"	"aa_b.'v_o_ll_t%a"
_D:	"abwatt"	"aa_b.'w_o_t%a"
_D:	"aby"	"uh.'b_ah_i%b"
_D:	"abye"	"uh.'b_ah_i%b"
_D:	"abysmal"	"uh.'b_i_z.m_uh_l%c"
_D:	"abysmally"	"uh.'b_i_z.m_uh.l_i%d"
_D:	"abyss"	"uh.'b_i_s%a"
_D:	"abyssal"	"uh.'b_i_s.uh_l%c"
_D:	"abyssinia"	"aa.b_i.'s_i_n.y_uh%a"
_D:	"a-c"	"e_i.'s_ee%j"
_D:	"acacia"	"uh.'k_e_i.sh_uh%a"
_D:	"academe"	"~aa_k.uh.'d_ee_m%a"
_D:	"academia"	"'aa_k.uh.'d_ee.m_i.uh%a"
_D:	"academic"	"~aa.k_uh.'d_e.m_i_k%ac"
_D:	"academical"	"~aa_k.uh.'d_e_m.i.k_uh_l%ca"
_D:	"academically"	"~aa_k.uh.'d_e_m.i.k_uh.l_i%d"
_D:	"academician"	"uh.~k_aa_d.uh.'m_i_sh.uh_n%a"
_D:	"academicism"	"~aa_k.uh.'d_e_m.i.~s_i_z.uh_m%a"
_D:	"academie"	"aa.k_aa.d_uh.'m_ee%a"
_D:	"academise"	"uh.'k_aa_d.uh.~m_ah_i_z%b"
_D:	"academism"	"uh.'k_aa_d.uh.~m_i_z.uh_m%a"
_D:	"academy"	"uh.'k_aa.d_uh.m_i%a"
_D:	"acadia"	"uh.'k_e_i.d_i_uh%a"
_D:	"acalculia"	"~e_i.k_aa_l.'k_y_uu.l_ee.uh%a"
_D:	"acaleph"	"'aa_k.uh.~l_e_f%a"
_D:	"acalephe"	"'aa_k.uh.~l_ee_f%j"
_D:	"acantha"	"aa.'k_aa_n_th_uh%ca"
_D:	"acanthaceous"	"~aa_k.aa_n.'th_e_i.sh_uh_s%c"
_D:	"acanthine"	"uh.'k_aa_n.th_i_n%c"
_D:	"acanthite"	"uh.'k_aa_n.th_ah_i_t%a"
_D:	"acanthocarpous"	"uh.~k_aa_n.th_uh.'k_ar_r.p_uh_s%c"
_D:	"acanthocephalan"	"uh.~k_aa_n.th_uh.'s_e_f.uh.l_uh_n%ac"
_D:	"acanthocladous"	"~aa_k.uh_n.'th_o_k.l_uh.d_uh_s%c"
_D:	"acanthodian"	"~aa_k.aa_n.'th_uh_uu.d_i.uh_n%a"
_D:	"acanthoid"	"uh.'k_aa_n.th_o_i_d%c"
_D:	"acanthopterygian"	"~aa_k.aa_n.~th_o_p.t_uh.'r_i_j.i.uh_n%ca"
_D:	"acanthosis"	"~aa_k.aa_n.'th_uh_uu.s_i_s%a"
_D:	"acanthotic"	"~aa_k.aa_n.'th_o_t.i_k%c"
_D:	"acanthous"	"uh.'k_aa_n.th_uh_s%c"
_D:	"acanthus"	"uh.'k_aa_n.th_uh_s%a"
_D:	"acapnia"	"uh.'k_aa_p.n_i.uh%a"
_D:	"acappella"	"~aa.k_uh.'p_e_l.uh%a"
_D:	"acapriccio"	"~aa.k_ar.'p_r_ee_t.ch_i_uh_uu%j"
_D:	"acapulco"	"aa.k_uh.'p_u_l.k_uh_uu%a"
_D:	"acardia"	"e_i.'k_ar_r.d_i.uh%a"
_D:	"acardiac"	"e_i.'k_ar_r.d_i.~aa_k%c"
_D:	"acariasis"	"~aa_k.uh.'r_ah_i.uh.s_i_s%a"
_D:	"acaricide"	"uh.'k_aa_r.i.~s_ah_i_d%a"
_D:	"acarid"	"'aa_k.uh.r_i_d%ac"
_D:	"acaridan"	"uh.'k_aa_r.i.d_uh_n%ca"
_D:	"acarine"	"'aa_k.uh.~r_ah_i_n%ac"
_D:	"acaroid"	"'aa_k.uh.~r_o_i_d%c"
_D:	"acarology"	"~aa_k.uh.'r_o_l.uh.j_i%a"
_D:	"acarophobia"	"~aa_k.uh_r.uh.f_uh_uu_b_i.uh%a"
_D:	"acarpelous"	"e_i.'k_ar_r.p_uh.l_uh_s%c"
_D:	"acarpous"	"e_i.'k_ar_r.p_uh_s%c"
_D:	"acarus"	"'aa_k.uh_r.uh_s%a"
_D:	"acatalectic"	"e_i.~k_aa_t.'uh_l_e_k.t_i_k%ca"
_D:	"acaudal"	"e_i.'k_aw_d.uh_l%c"
_D:	"acaudate"	"e_i.'k_aw.d_e_i_t%j"
_D:	"acaulescent"	"~aa_k.aw.'l_e_s.uh_n_t%c"
_D:	"acaulous"	"e_i.'k_aw.l_uh_s%j"
